[2025-11-28 14:06:35] [32minfo[39m: 	z2m: Zigbee2MQTT started!
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x880f62fffe35c93e/occupancy/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.beveg_vallhorn_occupancy","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x880f62fffe35c93e"],"manufacturer":"IKEA","model":"VALLHORN wireless motion sensor","model_id":"E2134","name":"Beveg Vallhorn","sw_version":"1.0.64","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"occupancy","object_id":"beveg_vallhorn_occupancy","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Beveg Vallhorn","unique_id":"0x880f62fffe35c93e_occupancy_zigbee2mqtt","value_template":"{{ value_json.occupancy }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x54ef441000d966d0/consumer_connected/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.veggplugg_kontor_consumer_connected","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0x54ef441000d966d0"],"manufacturer":"Aqara","model":"Smart plug EU","model_id":"SP-EUC01","name":"Veggplugg kontor","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"device_class":"plug","entity_category":"diagnostic","object_id":"veggplugg_kontor_consumer_connected","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Veggplugg kontor","unique_id":"0x54ef441000d966d0_consumer_connected_zigbee2mqtt","value_template":"{{ value_json.consumer_connected }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec80130/water_sensor/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.varmepumpe_kjeller_rele_water_sensor","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec80130"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"Varmepumpe kjeller rele","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Water sensor","object_id":"varmepumpe_kjeller_rele_water_sensor","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Varmepumpe kjeller rele","unique_id":"0x385cfbfffec80130_water_sensor_zigbee2mqtt","value_template":"{{ value_json.water_sensor }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec80130/water_condition_alarm/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.varmepumpe_kjeller_rele_water_condition_alarm","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec80130"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"Varmepumpe kjeller rele","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Water condition alarm","object_id":"varmepumpe_kjeller_rele_water_condition_alarm","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Varmepumpe kjeller rele","unique_id":"0x385cfbfffec80130_water_condition_alarm_zigbee2mqtt","value_template":"{{ value_json.water_condition_alarm }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec80130/ntc_condition_alarm/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.varmepumpe_kjeller_rele_ntc_condition_alarm","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec80130"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"Varmepumpe kjeller rele","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Ntc condition alarm","object_id":"varmepumpe_kjeller_rele_ntc_condition_alarm","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Varmepumpe kjeller rele","unique_id":"0x385cfbfffec80130_ntc_condition_alarm_zigbee2mqtt","value_template":"{{ value_json.ntc_condition_alarm }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec80130/is_execute_condition/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.varmepumpe_kjeller_rele_is_execute_condition","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec80130"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"Varmepumpe kjeller rele","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Is execute condition","object_id":"varmepumpe_kjeller_rele_is_execute_condition","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/Varmepumpe kjeller rele","unique_id":"0x385cfbfffec80130_is_execute_condition_zigbee2mqtt","value_template":"{{ value_json.is_execute_condition }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec7f3a4/water_sensor/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.0x385cfbfffec7f3a4_water_sensor","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec7f3a4"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"0x385cfbfffec7f3a4","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Water sensor","object_id":"0x385cfbfffec7f3a4_water_sensor","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/0x385cfbfffec7f3a4","unique_id":"0x385cfbfffec7f3a4_water_sensor_zigbee2mqtt","value_template":"{{ value_json.water_sensor }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec7f3a4/water_condition_alarm/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.0x385cfbfffec7f3a4_water_condition_alarm","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec7f3a4"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"0x385cfbfffec7f3a4","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Water condition alarm","object_id":"0x385cfbfffec7f3a4_water_condition_alarm","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/0x385cfbfffec7f3a4","unique_id":"0x385cfbfffec7f3a4_water_condition_alarm_zigbee2mqtt","value_template":"{{ value_json.water_condition_alarm }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec7f3a4/ntc_condition_alarm/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.0x385cfbfffec7f3a4_ntc_condition_alarm","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec7f3a4"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"0x385cfbfffec7f3a4","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Ntc condition alarm","object_id":"0x385cfbfffec7f3a4_ntc_condition_alarm","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/0x385cfbfffec7f3a4","unique_id":"0x385cfbfffec7f3a4_ntc_condition_alarm_zigbee2mqtt","value_template":"{{ value_json.ntc_condition_alarm }}"}'
[2025-11-28 14:06:35] [34mdebug[39m: 	z2m:mqtt: Received MQTT message on 'homeassistant/binary_sensor/0x385cfbfffec7f3a4/is_execute_condition/config' with data '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"binary_sensor.0x385cfbfffec7f3a4_is_execute_condition","device":{"hw_version":0,"identifiers":["zigbee2mqtt_0x385cfbfffec7f3a4"],"manufacturer":"Namron AS","model":"Namron Zigbee 30A relay (numeric-ID external converter)","model_id":"4512785","name":"0x385cfbfffec7f3a4","sw_version":"1.11","via_device":"zigbee2mqtt_bridge_0x00124b0031fe82ee"},"name":"Is execute condition","object_id":"0x385cfbfffec7f3a4_is_execute_condition","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":false,"payload_on":true,"state_topic":"zigbee2mqtt/0x385cfbfffec7f3a4","unique_id":"0x385cfbfffec7f3a4_is_execute_condition_zigbee2mqtt","value_template":"{{ value_json.is_execute_condition }}"}'
